timestamp,dMax,dMin,dRange
46646,1.0,-3.829635e-25,1.0
46674,1.0,-4.7132415e-26,1.0
46705,1.0,-5.5138616e-26,1.0
46735,1.0,-6.274013e-26,1.0
46761,1.0,-6.9692465e-26,1.0
46790,1.0,-7.635904e-26,1.0
46824,1.0,-8.2176774e-26,1.0
46851,1.0,-8.7522275e-26,1.0
46877,1.0,-9.191587e-26,1.0
46904,1.0,-9.56261e-26,1.0
46929,1.0,-9.863531e-26,1.0
46956,1.0,-1.0087611e-25,1.0
46984,1.0,-1.0247609e-25,1.0
47010,1.0,-1.03379303e-25,1.0
47035,1.0,-1.0367788e-25,1.0
47062,1.0,-1.0342223e-25,1.0
47087,1.0,-1.02645046e-25,1.0
47113,1.0,-1.0140289e-25,1.0
47139,1.0,-9.965057e-26,1.0
47165,1.0,-9.740779e-26,1.0
47190,1.0,-9.4771044e-26,1.0
47215,1.0,-9.1598325e-26,1.0
47240,1.0,-8.8090027e-26,1.0
47267,1.0,-1.2630572e-25,1.0
47298,1.0,-3.3439612e-25,1.0
47325,1.0,-7.776978e-25,1.0
47357,1.0,-1.6411107e-24,1.0
47384,1.0,-3.0707178e-24,1.0
47411,1.0,-5.8944956e-26,1.0
47438,1.0,-5.9090544e-26,1.0
47463,1.0,-6.2977126e-26,1.0
47495,1.0,-6.601101e-26,1.0
47523,1.0,-6.83276e-26,1.0
47549,1.0,-6.951547e-26,1.0
47575,1.0,-6.94603e-26,1.0
47602,1.0,-6.8223206e-26,1.0
47631,1.0,-6.61185e-26,1.0
47656,1.0,-6.34444e-26,1.0
47684,1.0,-6.005786e-26,1.0
47709,1.0,-5.641527e-26,1.0
47736,1.0,-1.3425095e-24,1.0
47764,1.0,-1.0359991e-24,1.0
47796,1.0,-7.974735e-25,1.0
47822,1.0,-6.138523e-25,1.0
47851,1.0,-4.694334e-25,1.0
47879,1.0,-3.5941925e-25,1.0
47905,1.0,-2.3990126e-26,1.0
47932,1.0,-1.6687187e-24,1.0
47959,1.0,-1.2216256e-24,1.0
47986,1.0,-6.6100603e-25,1.0
48013,1.0,-4.0421437e-25,1.0
48039,1.0,-2.3263064e-26,1.0
48067,1.0,-2.4275544e-26,1.0
48095,1.0,-2.4601556e-26,1.0
48120,1.0,-4.9155522e-26,1.0
48146,1.0,-2.4312431e-26,1.0
48173,1.0,-8.1425335e-26,1.0
48202,1.0,-2.2804343e-26,1.0
48229,1.0,-2.1673684e-26,1.0
48257,1.0,-2.2168859e-26,1.0
48285,1.0,-1.8947624e-26,1.0
48313,1.0,-9.248668e-26,1.0
48339,1.0,-6.817871e-26,1.0
48366,1.0,-3.5660985e-25,1.0
48395,1.0,-1.9524067e-26,1.0
48422,1.0,-4.2177918e-26,1.0
48449,1.0,-9.85787e-27,1.0
48476,1.0,-8.576001e-27,1.0
48504,1.0,-7.390351e-27,1.0
48530,1.0,-6.623112e-27,1.0
48557,1.0,-1.117896e-26,1.0
48584,1.0,-1.124012e-26,1.0
48610,1.0,-1.6065767e-26,1.0
48638,1.0,-9.782315e-27,1.0
48666,1.0,-9.932277e-27,1.0
48692,1.0,-2.5626227e-26,1.0
48718,1.0,-1.1988788e-25,1.0
48745,1.0,-3.796909e-26,1.0
48772,1.0,-1.5131373e-25,1.0
48802,1.0,-3.4819393e-26,1.0
48831,1.0,-1.1375918e-26,1.0
48857,1.0,-1.7145675e-26,1.0
48883,1.0,-7.005889e-27,1.0
48908,1.0,-2.2099279e-26,1.0
48934,1.0,-1.6921584e-25,1.0
48960,1.0,-5.9406207e-27,1.0
48989,1.0,-1.9286195e-26,1.0
49018,1.0,-9.00843e-27,1.0
49048,1.0,-6.4803746e-26,1.0
49076,1.0,-4.411488e-25,1.0
49103,1.0,-2.6942611e-24,1.0
49130,1.0,-1.25080144e-23,1.0
49161,1.0,-5.9047046e-26,1.0
49191,1.0,-4.3474348e-27,1.0
49219,1.0,-9.262236e-27,1.0
49247,1.0,-2.458547e-26,1.0
49275,1.0,-5.8792515e-26,1.0
49302,1.0,-4.5693505e-27,1.0
49331,1.0,-6.429041e-27,1.0
49358,1.0,-2.94432e-26,1.0
49385,1.0,-4.7361183e-27,1.0
49413,1.0,-1.264599e-26,1.0
49440,1.0,-4.944399e-27,1.0
49469,1.0,-3.7140276e-27,1.0
49497,1.0,-1.602623e-27,1.0
49523,1.0,-1.8374254e-27,1.0
49551,1.0,-2.768419e-27,1.0
49577,1.0,-8.673942e-27,1.0
49604,1.0,-3.3116396e-27,1.0
